epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4041.34,1.30043,0.81622,1.14456,0.92329,0.75555,0.8834,0.53036,1.15577,1.03581,1.17484,0.000848969,0.000848969,0.000848969
43,4127.42,1.30106,0.81472,1.12596,0.92329,0.75555,0.8834,0.53036,1.15577,1.03581,1.17484,0.000834822,0.000834822,0.000834822
44,4239.72,1.25078,0.78453,1.13896,0.91569,0.84788,0.87585,0.5038,1.18125,1.1992,1.19428,0.000820675,0.000820675,0.000820675
45,4338.6,1.38042,0.82965,1.20095,0.85825,0.8376,0.88849,0.50488,1.17954,0.94323,1.17441,0.000806528,0.000806528,0.000806528
46,4441.4,1.29296,0.81269,1.16559,0.86757,0.86505,0.93685,0.54573,1.19011,0.79957,1.18164,0.00079238,0.00079238,0.00079238
47,4559.66,1.30715,0.75328,1.13207,0.86757,0.86505,0.93685,0.54573,1.19011,0.79957,1.18164,0.000778233,0.000778233,0.000778233
48,4643.02,1.3351,0.81693,1.26169,0.77747,0.88196,0.90156,0.5466,1.20058,0.75468,1.18913,0.000764086,0.000764086,0.000764086
49,4747.05,1.3299,0.77711,1.15184,0.7696,0.90952,0.89487,0.58399,1.14221,0.69405,1.14784,0.000749939,0.000749939,0.000749939
50,4829.59,1.26632,0.76123,1.10564,0.88218,0.83005,0.90328,0.58121,1.13299,0.72671,1.1642,0.000735792,0.000735792,0.000735792
51,4936.29,1.28076,0.78714,1.11793,0.88218,0.83005,0.90328,0.58121,1.13299,0.72671,1.1642,0.000721645,0.000721645,0.000721645
52,5040.16,1.29614,0.75531,1.20295,0.78619,0.82197,0.88624,0.56452,1.18467,0.7618,1.17934,0.000707498,0.000707498,0.000707498
53,5139.95,1.21892,0.79413,1.08891,0.88365,0.86519,0.93484,0.61844,1.08873,0.7001,1.13261,0.000693351,0.000693351,0.000693351
54,5252.29,1.23988,0.86121,1.1622,0.8013,0.86437,0.90383,0.60266,1.06535,0.67919,1.12742,0.000679204,0.000679204,0.000679204
55,5365.29,1.14218,0.71736,1.12614,0.8013,0.86437,0.90383,0.60266,1.06535,0.67919,1.12742,0.000665057,0.000665057,0.000665057
56,5440.1,1.12359,0.66994,1.10382,0.84545,0.85286,0.91711,0.61606,1.06508,0.66236,1.13858,0.000650909,0.000650909,0.000650909
57,5557.47,1.19555,0.71135,1.11551,0.90711,0.87727,0.93284,0.58103,1.15112,0.68558,1.17662,0.000636762,0.000636762,0.000636762
58,5680.25,1.18676,0.71892,1.09877,0.82609,0.90148,0.91127,0.56492,1.16625,0.67644,1.19507,0.000622615,0.000622615,0.000622615
59,5783.93,1.12435,0.71224,1.10439,0.82609,0.90148,0.91127,0.56492,1.16625,0.67644,1.19507,0.000608468,0.000608468,0.000608468
60,5847.14,1.20221,0.70297,1.09138,0.83766,0.86429,0.88914,0.56058,1.14468,0.67416,1.19894,0.000594321,0.000594321,0.000594321
61,5911.36,1.13709,0.66194,1.09725,0.88149,0.95372,0.92706,0.61389,1.11924,0.63866,1.17449,0.000580174,0.000580174,0.000580174
62,6013.52,1.25971,0.916,1.18141,0.83292,0.85476,0.89663,0.60606,1.15449,0.63963,1.17801,0.000566027,0.000566027,0.000566027
63,6161.48,1.15258,0.66654,1.06343,0.83292,0.85476,0.89663,0.60606,1.15449,0.63963,1.17801,0.00055188,0.00055188,0.00055188
64,6304.43,1.12774,0.72396,1.12367,0.77332,0.9283,0.87591,0.59685,1.14225,0.67192,1.17679,0.000537733,0.000537733,0.000537733
65,6435.75,1.0582,0.66376,1.07312,0.8403,0.90952,0.89544,0.61647,1.05539,0.65355,1.12752,0.000523586,0.000523586,0.000523586
66,6567.76,1.19579,0.68451,1.1342,0.94008,0.89755,0.92535,0.63365,1.0528,0.63566,1.12825,0.000509438,0.000509438,0.000509438
67,6694.57,1.11071,0.66887,1.11884,0.94008,0.89755,0.92535,0.63365,1.0528,0.63566,1.12825,0.000495291,0.000495291,0.000495291
68,6794.1,1.14071,0.63688,1.05897,0.90931,0.90167,0.90917,0.63298,1.04167,0.63339,1.13089,0.000481144,0.000481144,0.000481144
69,6930.09,1.21282,0.68917,1.11636,0.9416,0.9268,0.95252,0.63912,1.08009,0.6441,1.1372,0.000466997,0.000466997,0.000466997
70,7053.49,1.06928,0.603,1.04077,0.90088,0.94286,0.9518,0.65393,1.06479,0.61931,1.12593,0.00045285,0.00045285,0.00045285
71,7179.58,1.08299,0.63609,1.05755,0.90088,0.94286,0.9518,0.65393,1.06479,0.61931,1.12593,0.000438703,0.000438703,0.000438703
72,7312.55,1.12661,0.7103,1.0993,0.92261,0.92488,0.9616,0.65907,1.00059,0.59665,1.10077,0.000424556,0.000424556,0.000424556
73,7437.73,1.13181,0.71346,1.19735,0.90804,0.96068,0.95138,0.66151,1.003,0.58822,1.09945,0.000410409,0.000410409,0.000410409
74,7547.61,1.089,0.63538,1.08575,0.93787,0.97619,0.97191,0.65843,1.01464,0.57935,1.10495,0.000396262,0.000396262,0.000396262
75,7674.36,1.06529,0.591,1.06944,0.93787,0.97619,0.97191,0.65843,1.01464,0.57935,1.10495,0.000382115,0.000382115,0.000382115
76,7803.76,1.0466,0.6311,1.06019,0.89147,0.91642,0.94962,0.65606,1.02673,0.58366,1.11211,0.000367967,0.000367967,0.000367967
77,7922.55,1.10347,0.6059,1.09024,0.91023,0.97619,0.95787,0.66213,1.00756,0.57366,1.10333,0.00035382,0.00035382,0.00035382
78,8038.65,1.08642,0.59737,1.07647,0.89675,0.94286,0.9627,0.67001,0.97471,0.55564,1.0929,0.000339673,0.000339673,0.000339673
79,8156.56,1.10414,0.6133,1.09605,0.89675,0.94286,0.9627,0.67001,0.97471,0.55564,1.0929,0.000325526,0.000325526,0.000325526
80,8274.73,1.07846,0.60954,0.99765,0.91385,0.91803,0.96811,0.66582,1.00141,0.55959,1.10214,0.000311379,0.000311379,0.000311379
81,8391.14,1.0607,0.57594,1.07594,0.91243,0.90952,0.9662,0.66906,0.99636,0.56193,1.09808,0.000297232,0.000297232,0.000297232
82,8505.96,1.09644,0.61936,1.07994,0.91873,0.89308,0.96542,0.65675,0.99483,0.55518,1.10027,0.000283085,0.000283085,0.000283085
83,8623.11,1.08533,0.66114,1.03332,0.91873,0.89308,0.96542,0.65675,0.99483,0.55518,1.10027,0.000268938,0.000268938,0.000268938
84,8741.77,1.08682,0.64531,1.12422,0.93837,0.90952,0.97005,0.6663,1.00423,0.55575,1.10356,0.000254791,0.000254791,0.000254791
85,8856.08,1.03579,0.60666,1.04607,0.92294,0.90531,0.96427,0.67085,0.99466,0.56469,1.10071,0.000240644,0.000240644,0.000240644
86,8973.01,1.07813,0.604,1.05423,0.9193,0.90952,0.97304,0.69093,0.97244,0.5539,1.08939,0.000226497,0.000226497,0.000226497
87,9091.05,1.14964,0.64468,1.13402,0.9193,0.90952,0.97304,0.69093,0.97244,0.5539,1.08939,0.000212349,0.000212349,0.000212349
88,9206.95,1.01998,0.60694,1.09872,0.90071,0.90952,0.96798,0.70104,0.95153,0.5393,1.07946,0.000198202,0.000198202,0.000198202
89,9324.7,1.02549,0.57551,1.06105,0.91342,0.92238,0.97261,0.70818,0.92977,0.52988,1.06774,0.000184055,0.000184055,0.000184055
90,9441.86,1.18173,0.62533,1.1141,0.89632,0.97619,0.96723,0.7068,0.91586,0.51786,1.06421,0.000169908,0.000169908,0.000169908
91,9557.17,1.105,0.64802,1.13092,0.89632,0.97619,0.96723,0.7068,0.91586,0.51786,1.06421,0.000155761,0.000155761,0.000155761
92,9675.68,0.97005,0.53865,1.05884,0.87563,0.97619,0.97078,0.71632,0.90474,0.5034,1.06084,0.000141614,0.000141614,0.000141614
93,9792.41,1.07776,0.62921,1.03887,0.87696,0.98474,0.96652,0.72125,0.90451,0.49215,1.06092,0.000127467,0.000127467,0.000127467
94,9903.27,1.09254,0.60688,1.04986,0.8665,0.99483,0.95952,0.72104,0.90829,0.48278,1.06152,0.00011332,0.00011332,0.00011332
95,9978.07,0.99803,0.54973,1.08087,0.8665,0.99483,0.95952,0.72104,0.90829,0.48278,1.06152,9.91726e-05,9.91726e-05,9.91726e-05
96,10067.7,1.01522,0.51904,1.02869,0.88028,0.97007,0.96512,0.73142,0.91049,0.48064,1.06266,8.50255e-05,8.50255e-05,8.50255e-05
97,10199.7,0.9235,0.52037,1.05947,0.87959,0.97095,0.96512,0.73895,0.90661,0.47711,1.05909,7.08784e-05,7.08784e-05,7.08784e-05
98,10326.9,1.00621,0.53483,1.07722,0.89813,0.97679,0.96878,0.7523,0.89883,0.47297,1.0556,5.67313e-05,5.67313e-05,5.67313e-05
99,10457.5,1.00116,0.51684,1.06523,0.89813,0.97679,0.96878,0.7523,0.89883,0.47297,1.0556,4.25842e-05,4.25842e-05,4.25842e-05
100,10592.1,0.98406,0.5212,1.07478,0.89144,0.94609,0.97221,0.75314,0.89698,0.47082,1.05549,2.84371e-05,2.84371e-05,2.84371e-05
