epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2471.8,1.55485,0.80017,1.24492,0.7434,0.90625,0.86293,0.40918,1.88635,1.04693,1.40305,0.000990365,0.000990365,0.000990365
43,2527.42,1.53411,0.81297,1.16747,0.73598,0.90625,0.9397,0.50934,1.60411,1.06809,1.28729,0.000973861,0.000973861,0.000973861
44,2583.74,1.5383,0.83264,1.18586,0.75746,0.88948,0.94665,0.51771,1.6776,1.16275,1.35188,0.000957358,0.000957358,0.000957358
45,2640.18,1.58867,0.843,1.22927,0.75746,0.88948,0.94665,0.51771,1.6776,1.16275,1.35188,0.000940855,0.000940855,0.000940855
46,2695.87,1.59703,0.78488,1.21113,0.85458,0.85578,0.92657,0.51272,1.68499,1.07307,1.33277,0.000924352,0.000924352,0.000924352
47,2753.02,1.64361,0.80736,1.2242,0.91339,0.93225,0.9371,0.51533,1.57746,0.90947,1.26599,0.000907848,0.000907848,0.000907848
48,2810.02,1.51974,0.78045,1.18214,0.91339,0.93225,0.9371,0.51533,1.57746,0.90947,1.26599,0.000891345,0.000891345,0.000891345
49,2866.19,1.50887,0.75711,1.19829,0.91946,0.9375,0.91857,0.49388,1.62168,0.95344,1.29516,0.000874842,0.000874842,0.000874842
50,2923.39,1.54892,0.80033,1.18711,0.91946,0.9375,0.91857,0.49388,1.62168,0.95344,1.29516,0.000858338,0.000858338,0.000858338
51,3013.34,1.44219,0.76658,1.22398,0.90578,0.89957,0.93212,0.55898,1.53416,0.90663,1.23533,0.000841835,0.000841835,0.000841835
52,3072.76,1.48714,0.74386,1.15081,0.84132,0.88874,0.97176,0.62574,1.40601,0.8204,1.14545,0.000825332,0.000825332,0.000825332
53,3148.78,1.48633,0.75525,1.1321,0.84132,0.88874,0.97176,0.62574,1.40601,0.8204,1.14545,0.000808828,0.000808828,0.000808828
54,3207.26,1.50874,0.73676,1.106,0.90725,0.88104,0.94053,0.56993,1.5367,0.8481,1.2036,0.000792325,0.000792325,0.000792325
55,3265.99,1.45391,0.75308,1.14394,0.86103,0.875,0.8523,0.51843,1.6469,0.91646,1.26156,0.000775822,0.000775822,0.000775822
56,3321.78,1.42539,0.7219,1.12379,0.86103,0.875,0.8523,0.51843,1.6469,0.91646,1.26156,0.000759318,0.000759318,0.000759318
57,3377.86,1.59385,0.79059,1.21308,0.9064,0.91576,0.90448,0.55428,1.43742,0.84166,1.15214,0.000742815,0.000742815,0.000742815
58,3435.17,1.57777,0.79291,1.17056,0.9064,0.91576,0.90448,0.55428,1.43742,0.84166,1.15214,0.000726312,0.000726312,0.000726312
59,3494.79,1.30392,0.71066,1.10102,0.78251,0.90625,0.88925,0.57876,1.41779,0.84261,1.15139,0.000709809,0.000709809,0.000709809
60,3584.31,1.48218,0.74449,1.14609,0.80088,0.91597,0.91,0.57999,1.47612,0.85282,1.15387,0.000693305,0.000693305,0.000693305
61,3645.58,1.35792,0.70861,1.11474,0.80088,0.91597,0.91,0.57999,1.47612,0.85282,1.15387,0.000676802,0.000676802,0.000676802
62,3701.81,1.42064,0.70771,1.16075,0.88026,0.9058,0.92618,0.58587,1.51353,0.84356,1.1602,0.000660299,0.000660299,0.000660299
63,3757.77,1.46804,0.71237,1.14389,0.95724,0.95312,0.95219,0.60324,1.39825,0.79168,1.10805,0.000643795,0.000643795,0.000643795
64,3836.84,1.31991,0.66614,1.08218,0.95724,0.95312,0.95219,0.60324,1.39825,0.79168,1.10805,0.000627292,0.000627292,0.000627292
65,3958.15,1.42064,0.68946,1.09555,0.93347,0.9375,0.9296,0.61224,1.36969,0.69642,1.11541,0.000610789,0.000610789,0.000610789
66,4025.38,1.33214,0.66496,1.07948,0.93347,0.9375,0.9296,0.61224,1.36969,0.69642,1.11541,0.000594286,0.000594286,0.000594286
67,4084.4,1.35318,0.65317,1.06613,0.93171,0.93029,0.94106,0.61233,1.34091,0.65609,1.1119,0.000577782,0.000577782,0.000577782
